case,addends,subtrahends,expected
zero,0000000000000000*1,,0000000000000000
negative_zero,8000000000000000*1,,0000000000000000
min_subnormal,0000000000000001*1,,0000000000000001
subnormal_carry,000fffffffffffff*1 0000000000000001*1,,0010000000000000
even_midpoint,3ff0000000000000*1 3ca0000000000000*1,,3ff0000000000000
odd_midpoint,3ff0000000000001*1 3ca0000000000000*1,,3ff0000000000002
midpoint_sticky,3ff0000000000000*1 3ca0000000000000*1 0000000000000001*1,,3ff0000000000001
below_midpoint,3ff0000000000000*1 3c9fffffffffffff*1,,3ff0000000000000
round_significand_carry,3fffffffffffffff*1 3ca0000000000000*1,,4000000000000000
max_finite,7fefffffffffffff*1,,7fefffffffffffff
overflow_below_midpoint,7fefffffffffffff*1 7c80000000000000*1,,7fefffffffffffff
overflow_midpoint,7fefffffffffffff*1 7c90000000000000*1,,overflow
overflow_sticky,7fefffffffffffff*1 7c90000000000000*1 0000000000000001*1,,overflow
capacity_cancellation,7fefffffffffffff*1326 0000000000000001*1,7fefffffffffffff*1326,0000000000000001
capacity_overflow,7fefffffffffffff*1327,,overflow
capacity_max_residual,7fefffffffffffff*1327,7fefffffffffffff*1326,7fefffffffffffff
all_cancel,7e37e43c8800759c*1 54b249ad2594c37d*1 0000000000000001*1,7e37e43c8800759c*1 54b249ad2594c37d*1 0000000000000001*1,0000000000000000
span_000,00023c39e96e9451*1 0039bafc791bb298*1 004d30414063e4e1*1 00263c7d9662d124*1 0014949f5debdc14*1,00263c7d9662d124*1 0014949f5debdc14*1 004d30414063e4e1*1,003a4a0af37757ac
span_001,007c96fe2a8bac1a*1 006b2debc0e631fd*1 004dd6dab3df4d49*1 005f6aabba5eaf3f*1 003651be2d55de1d*1 008df0f2d4bd9fef*1,007c96fe2a8bac1a*1 006b2debc0e631fd*1 003651be2d55de1d*1,0091dddafba3b556
span_002,006ba33963a8b9a4*1 0086efae05d36a0a*1 009a25aded368a6c*1 00714ec75b125045*1,00714ec75b125045*1,00a488f60e4aab53
span_003,009236d6e5b18ca3*1 00bd15781290f3f0*1 00ab4b70beace5d7*1,009236d6e5b18ca3*1 00bd15781290f3f0*1,00ab4b70beace5d7
span_004,00cdbd609a8fed86*1 00df61fd4109e2e0*1 00e4ffdcc68f4071*1,00e4ffdcc68f4071*1 00df61fd4109e2e0*1,00cdbd609a8fed86
span_005,00f0b51d7d61069e*1 012c8dcd3f772083*1 01157c8aa51bee9e*1 01087d4333ffd763*1,01157c8aa51bee9e*1 012c8dcd3f772083*1 00f0b51d7d61069e*1,01087d4333ffd763
span_006,0147617e466a8b31*1 01318e54d03e4f7a*1 0167dbe0983b1546*1 015ef5908274cc29*1 017cf34c20054e06*1 012648205fcfea83*1,0147617e466a8b31*1 015ef5908274cc29*1,018556315e129e7a
span_007,016260909ec05db2*1 0178c8755af64d6b*1 015adc97bf8104ae*1,016260909ec05db2*1 0178c8755af64d6b*1,015adc97bf8104ae
span_008,01c671b4cba7f277*1 0186edc4e242ca0f*1 019e585d6065e704*1 01aa10cc7c1edf0c*1 01bebe5efc3f349d*1,0186edc4e242ca0f*1 01aa10cc7c1edf0c*1,01d4cdf7faea24d3
span_009,01b19dbf9a7a5ace*1 01cd055c1f9b7895*1 01d34716ee0df47d*1 01f11e4e44427504*1 01e9d7df975f6b92*1,01b19dbf9a7a5ace*1 01f11e4e44427504*1 01e9d7df975f6b92*1 01d34716ee0df47d*1,01cd055c1f9b7895
span_010,01ea7954b8378b68*1 020a1061ffbefe0b*1 01ff6a6fc106aa7a*1 0218d74629f91c4a*1,01ea7954b8378b68*1 020a1061ffbefe0b*1 0218d74629f91c4a*1,01ff6a6fc106aa7a
span_011,02352c9c6f763063*1 021b01a7b9bd0ed4*1 024c6b56e65d255d*1 022c72f6f2ab4d24*1,02352c9c6f763063*1 024c6b56e65d255d*1 022c72f6f2ab4d24*1,021b01a7b9bd0ed4
span_012,02829370e9e91571*1 02540edb1a78fc0c*1 024b04e50adc9a43*1 029bffa50cc64762*1 02795f9835c7491c*1 026f5bfbd76322d4*1,02540edb1a78fc0c*1 02829370e9e91571*1 026f5bfbd76322d4*1,02a197d921477f3e
span_013,02818dd782d242cc*1 027915f70200c38c*1 029c638222ab2459*1,029c638222ab2459*1 027915f70200c38c*1,02818dd782d242cc
span_014,02cfd252aeefcf66*1 02f3cdc62170de11*1 02e7bbdbb966759b*1 02df22c46dc7aab6*1 02a583ca4b31af51*1 02b8c74916b7d213*1,02f3cdc62170de11*1 02df22c46dc7aab6*1 02a583ca4b31af51*1 02cfd252aeefcf66*1 02b8c74916b7d213*1,02e7bbdbb966759b
span_015,02d3a8d698b72a18*1 02e71073a6b2b465*1 02f882f36b35e37a*1 031ebed15da6c951*1 030da9f08978c761*1 032c4eedd6cef167*1,02f882f36b35e37a*1 030da9f08978c761*1 032c4eedd6cef167*1,03216db69e044940
span_016,031fbe68fb08688b*1 0338aff5a9e8ce34*1 032a5c85db381998*1 030ca71deb86a246*1,0338aff5a9e8ce34*1 030ca71deb86a246*1 032a5c85db381998*1,031fbe68fb08688b
span_017,0341ee080aeeb37d*1 035119c48d7d470b*1 03631dcc5b106219*1 0371e70c0fa9a550*1 038805a3bde13d13*1 033fc6cd7ba53acb*1,0341ee080aeeb37d*1 03631dcc5b106219*1 033fc6cd7ba53acb*1,03918e312bb2dc4e
span_018,03ba4c177fcecf8b*1 036a266c283f238e*1 037de4cd76bb2914*1 039f26add29c2335*1 0389f19f6d62b81c*1 03a903068b037795*1,03ba4c177fcecf8b*1 03a903068b037795*1 039f26add29c2335*1,0397b6d099680ac5
span_019,03ba4ddc1970b245*1 03aff36ab8ad681a*1 03990c17efb612e8*1 03c15a5f9ef9f33f*1,03aff36ab8ad681a*1 03ba4ddc1970b245*1 03c15a5f9ef9f33f*1,03990c17efb612e8
